Symbol,Date,Open,High,Low,Close,Volume
A,25-Dec-2018,62.67,62.67,62.67,62.67,0
AA,25-Dec-2018,25.15,25.15,25.15,25.15,0
AAC,25-Dec-2018,1.52,1.52,1.52,1.52,0
AAN,25-Dec-2018,39.55,39.55,39.55,39.55,0
AAP,25-Dec-2018,148.92,148.92,148.92,148.92,0
AAT,25-Dec-2018,38.56,38.56,38.56,38.56,0
AB,25-Dec-2018,23.68,23.68,23.68,23.68,0
ABB,25-Dec-2018,18.19,18.19,18.19,18.19,0
ABBV,25-Dec-2018,84.16,84.16,84.16,84.16,0
ABC,25-Dec-2018,70.76,70.76,70.76,70.76,0
ABEV,25-Dec-2018,3.82,3.82,3.82,3.82,0
ABG,25-Dec-2018,62.3,62.3,62.3,62.3,0
ABM,25-Dec-2018,28.78,28.78,28.78,28.78,0
ABR,25-Dec-2018,9.78,9.78,9.78,9.78,0
ABR-A,25-Dec-2018,24.2,24.2,24.2,24.2,0
ABR-B,25-Dec-2018,23.6,23.6,23.6,23.6,0
ABR-C,25-Dec-2018,25.46,25.46,25.46,25.46,0
ABT,25-Dec-2018,65.56,65.56,65.56,65.56,0
ABX,25-Dec-2018,13.64,13.64,13.64,13.64,0
AC,25-Dec-2018,35.47,35.47,35.47,35.47,0
ACA,25-Dec-2018,24.7,24.7,24.7,24.7,0
ACB,25-Dec-2018,5,5,5,5,0
ACC,25-Dec-2018,39.75,39.75,39.75,39.75,0
ACCO,25-Dec-2018,6.3,6.3,6.3,6.3,0
ACH,25-Dec-2018,7.49,7.49,7.49,7.49,0
ACM,25-Dec-2018,24.92,24.92,24.92,24.92,0
ACN,25-Dec-2018,133.67,133.67,133.67,133.67,0
ACP,25-Dec-2018,10.3,10.3,10.3,10.3,0
ACRE,25-Dec-2018,12.87,12.87,12.87,12.87,0
ACV,25-Dec-2018,17.66,17.66,17.66,17.66,0
ADC,25-Dec-2018,56.67,56.67,56.67,56.67,0
ADM,25-Dec-2018,39.62,39.62,39.62,39.62,0
ADNT,25-Dec-2018,16.18,16.18,16.18,16.18,0
ADS,25-Dec-2018,144.46,144.46,144.46,144.46,0
ADSW,25-Dec-2018,22.29,22.29,22.29,22.29,0
ADT,25-Dec-2018,6.01,6.01,6.01,6.01,0
ADX,25-Dec-2018,11.97,11.97,11.97,11.97,0
AEB,25-Dec-2018,18.04,18.04,18.04,18.04,0
AED,25-Dec-2018,24.78,24.78,24.78,24.78,0
AEE,25-Dec-2018,63.24,63.24,63.24,63.24,0
AEG,25-Dec-2018,4.48,4.48,4.48,4.48,0
AEH,25-Dec-2018,24.8,24.8,24.8,24.8,0
AEL,25-Dec-2018,25.73,25.73,25.73,25.73,0
AEM,25-Dec-2018,40.74,40.74,40.74,40.74,0
AEO,25-Dec-2018,17.5,17.5,17.5,17.5,0
AEP,25-Dec-2018,73.55,73.55,73.55,73.55,0
AER,25-Dec-2018,36.86,36.86,36.86,36.86,0
AES,25-Dec-2018,13.82,13.82,13.82,13.82,0
AFB,25-Dec-2018,12.06,12.06,12.06,12.06,0
AFC,25-Dec-2018,24.95,24.95,24.95,24.95,0
AFG,25-Dec-2018,85.28,85.28,85.28,85.28,0
AFGE,25-Dec-2018,24.07,24.07,24.07,24.07,0
AFGH,25-Dec-2018,23.73,23.73,23.73,23.73,0
AFI,25-Dec-2018,11.83,11.83,11.83,11.83,0
AFL,25-Dec-2018,42.33,42.33,42.33,42.33,0
AFS-A,25-Dec-2018,11.885,11.885,11.885,11.885,0
AFS-B,25-Dec-2018,12.1,12.1,12.1,12.1,0
AFS-C,25-Dec-2018,12.99,12.99,12.99,12.99,0
AFS-D,25-Dec-2018,12.24,12.24,12.24,12.24,0
AFS-E,25-Dec-2018,12.61,12.61,12.61,12.61,0
AFS-F,25-Dec-2018,11.85,11.85,11.85,11.85,0
AFSS,25-Dec-2018,18.81,18.81,18.81,18.81,0
AFST,25-Dec-2018,19.07,19.07,19.07,19.07,0
AFT,25-Dec-2018,14.15,14.15,14.15,14.15,0
AG,25-Dec-2018,5.76,5.76,5.76,5.76,0
AGCO,25-Dec-2018,52.15,52.15,52.15,52.15,0
AGD,25-Dec-2018,8.33,8.33,8.33,8.33,0
AGI,25-Dec-2018,3.7,3.7,3.7,3.7,0
